Number,ProblemType,Problem,Solution
5_3,Integration,"Show that
\[
\max_{0 \leq x \leq 1} |f'(x)| \geq 4 \int_0^1 |f(x)| \, dx
\]
for any \(f \in C^1[0, 1]\) satisfying \(f(0) = f(1) = 0\). Prove moreover that 4 cannot be replaced by any larger constant.","\[
\text{Let } g(x) \text{ be any one of the four functions } f(x), -f(x), f(1-x) \text{ and } -f(1-x).
\]
\[
\text{Let } \alpha \text{ be the maximum of } |g'(x)| \text{ on the interval } [0,1], \text{ which also equals to the maximum of } |f'(x)| \text{ on } [0,1].
\]
\[
\text{We can assume } \alpha > 0; \text{ otherwise, } f(x) \text{ would identically vanish.}
\]
\[
\text{Suppose now that there is a point } x_0 \in (0,1) \text{ satisfying } g(x_0) > \alpha x_0.
\]
\[
\text{By the mean value theorem, there exists } \xi \in (0,x_0) \text{ satisfying } g(\xi) = g'(\xi)x_0 > \alpha x_0.
\]
\[
\text{However, this implies } g'(\xi) > \alpha, \text{ contrary to the definition of } \alpha.
\]
\[
\text{We thus have } g(x) \leq \alpha x \text{ for any } 0 < x < 1 \text{ so that } |f(x)| \leq \alpha \max\{x, 1-x\}.
\]
\[
\text{Hence,}
\]
\[
\int_0^1 |f(x)|dx \leq \alpha \int_0^1 \max\{x, 1-x\}dx = \frac{\alpha}{4}.
\]
\[
\text{The equality does not occur since the function } \max\{x, 1-x\} \text{ is not in } C^1\text{-class.}
\]
\[
\text{However, we can modify it slightly to become a continuously differentiable one in the neighborhood of } x = 1/2
\]
\[
\text{so that the difference between } \int_0^1 |f(x)|dx \text{ and } \alpha/4 \text{ becomes sufficiently small.}
\]"
5_2,Integration,"Find an example of a sequence of continuous functions \(\{f_n\}\) defined on the interval \([0, 1]\) such that \(0 \leq f_n(x) \leq 1\),
\[
\int_0^1 f_n(x) \, dx \to 0 \quad \text{as } n \to \infty,
\]
and that \(\{f_n(x)\}\) does not converge at any point \(x\) in \([0, 1]\).","Divide the unit interval \([0, 1]\) into \(m \geq 3\) equal subintervals. For each subinterval let \(I'\) and \(I''\) be the left and right neighboring subinterval respectively with \(I'\) or \(I''\) empty at endpoints. We associate with \(I\) the trapezoidal function \(g_I(x)\) such that \(g_I(x) = 1\) on \(I\), \(g_I(x) = 0\) on \([0, 1] \setminus (I \cup I' \cup I'')\) and that \(g_I(x)\) is linear on \(I'\) and on \(I''\). We thus have \(m\) continuous functions \(g_I\) for each \(m\). We call \(I\) the support of \(g_I\). Arranging the \(g_I\)'s in a line in any manner for \(m = 3, 4, \dots\) we define a sequence of continuous functions \(\{f_n(x)\}\). It is clear that
\[
a_n = \int_0^1 f_n(x) \, dx \leq \frac{2}{m}
\]
if \(f_n = g_I\) and the length of \(I\) is equal to \(1/m\). Since \(m \to \infty\) together with \(n\), it follows that \(a_n\) converges to \(0\) as \(n \to \infty\).

For any point \(x\) in \([0, 1]\) there are infinitely many cases in which \(x\) is contained in some support; in other words, \(f_n(x) = 1\) for infinitely many \(n\)'s. On the other hand, there are also infinitely many cases in which \(x\) is contained in neither the support nor its neighbors; in other words, \(f_n(x) = 0\) for infinitely many \(n\)'s. Hence \(\{f_n(x)\}\) does not converge at any point \(x\)."
6_8,Improper Integrals,"Show that a rational function \( R(x) \) satisfies
\[
\int_{-\infty}^\infty f(R(x)) \, dx = \int_{-\infty}^\infty f(x) \, dx
\]
for all piecewise continuous functions \( f(x) \) such that \( \int_{-\infty}^\infty f(x) \, dx \) exists, if and only if
\[
R(x) = \pm \left( x - \alpha_0 - \sum_{k=1}^m \frac{c_k}{x - \alpha_k} \right)
\]
for some non-negative integer \( m \), real constants \( \alpha_0, \alpha_1, \ldots, \alpha_m \) with \( \alpha_1 < \cdots < \alpha_m \), and positive constants \( c_1, \ldots, c_m \).","The proof is based on Szegő (1934).

For any \( \epsilon \) in the interval \( (0, 1) \), we can find a positive constant \( M \) satisfying
\[
|R(x) - R(x_0)| \leq |R'(x_0)| \epsilon + M \epsilon^2
\]
for any \( |x - x_0| \leq \epsilon \) unless \( x_0 \) is a real pole of \( R(x) \). Let \( f_\epsilon(x) \) be the piecewise continuous function defined by
\[
f_\epsilon(x) =
\begin{cases} 
1 & \text{if } |x - R(x_0)| \leq |R'(x_0)| \epsilon + M \epsilon^2, \\
0 & \text{otherwise}.
\end{cases}
\]

Then we have
\[
2 \epsilon (|R'(x_0)| + M \epsilon) = \int_{-\infty}^\infty f_\epsilon(x) \, dx \geq \int_{x_0-\epsilon}^{x_0+\epsilon} f_\epsilon(R(x)) \, dx = 2 \epsilon;
\]
hence, \( \epsilon \) being arbitrary, we have \( |R'(x_0)| \geq 1 \). This means that \( R(x) \) maps each interval divided by real poles of \( R(x) \), say \( \alpha_1 < \alpha_2 < \cdots < \alpha_m \), bijectively on \( \mathbb{R} \). Of course \( m = 0 \) corresponds to the case in which \( R(x) \) has no real poles. The equation \( R(x) = s \) has a unique solution in each interval \( (-\infty, \alpha_1), (\alpha_1, \alpha_2), \ldots, (\alpha_m, \infty) \), say \( x_k(s) \), \( 0 \leq k \leq m \).

Next, let \( g_\epsilon(x) \) be the piecewise continuous function defined by
\[
g_\epsilon(x) =
\begin{cases} 
1 & \text{if } |x - s| \leq \epsilon, \\
0 & \text{otherwise}.
\end{cases}
\]

We then have
\[
2 \epsilon = \int_{-\infty}^\infty g_\epsilon(x) \, dx = \int_{-\infty}^\infty g_\epsilon(R(x)) \, dx, \tag{6.6}
\]
where the right-hand side is equal to the sum of lengths of \( m+1 \) intervals satisfying \( |R(x) - s| \leq \epsilon \). Each of these intervals contains exactly one \( x_k(s) \), and the length is
\[
\frac{2 \epsilon}{|R'(x_k(s))|} + O(\epsilon^2);
\]
so letting \( \epsilon \to 0^+ \) in (6.6), we get
\[
\sum_{k=0}^m \frac{1}{|R'(x_k(s))|} = 1. \tag{6.7}
\]
In the case $m = 0$ the function $R(x)$ maps $\mathbb{R}$ homeomorphically onto $\mathbb{R}$ and $R'(x_0(s)) = \pm 1$ implies that
\[
x_0'(s) = (R^{-1})'(s) = \frac{1}{R'(R^{-1}(s))} = \frac{1}{R'(x_0(s))} = \pm 1.
\]
Therefore $R(x) = \pm (x - a_0)$ for some constant $a_0$ for $m = 0$.

We hereafter assume that $m$ is a positive integer. Since $|R'(x_k(s))|$ diverges to $\infty$ as $|s| \to \infty$ for each $1 \leq k \leq m$, it follows from $(6.7)$ that either
\[
\begin{cases}
R'(x) \geq 1 \text{ on } (-\infty, \alpha_1) \cup (\alpha_m, \infty), \\
\lim_{s \to -\infty} x_0(s) = -\infty, \quad \lim_{s \to -\infty} x_m(s) = \alpha_m, \\
\lim_{s \to \infty} x_0(s) = \alpha_1, \quad \lim_{s \to \infty} x_m(s) = \infty,
\end{cases}
\]
or
\[
\begin{cases}
R'(x) \leq -1 \text{ on } (-\infty, \alpha_1) \cup (\alpha_m, \infty), \\
\lim_{s \to -\infty} x_0(s) = \alpha_1, \quad \lim_{s \to -\infty} x_m(s) = \infty, \\
\lim_{s \to \infty} x_0(s) = -\infty, \quad \lim_{s \to \infty} x_m(s) = \alpha_m,
\end{cases}
\]
holds. They are called the first and the second cases respectively.

The rational function $R(x)$ can now be represented as
\[
R(x) = P(x) - \sum_{k,\ell} \frac{c_{k,\ell}}{(x - \alpha_k)^{d_{k,\ell}}} + Q(x),
\]
where $P(x)$ is a polynomial of degree $r$ with some positive integer $r$, $c_{k,\ell}$ are non-zero real constants, $d_{k,\ell}$ are positive integers, and $Q(x)$ is a rational function having no real poles and converging to $0$ as $|x| \to \infty$ unless $Q(x)$ vanishes identically. Let $\beta x^r$ be the leading term of $P(x)$ where $\beta$ is a non-zero constant. Since $R'(x) \sim \beta r x^{r-1}$ as $|x| \to \infty$, we must have $r = 1$ and hence $\beta = \pm 1$ by $(6.7)$. Hence $P(x) = \pm (x - a_0)$ for some constant $a_0$.

We first treat the first case. Since $R'(x) = 1 + O(x^{-2})$ as $|x| \to \infty$ in this case, we have
\[
\sum_{k=0}^{m-1} \frac{1}{|R'(x_k(s))|} = O(s^{-2}) \quad \text{as } s \to \infty,
\]
\[
\sum_{k=1}^m \frac{1}{|R'(x_k(s))|} = O(s^{-2}) \quad \text{as } s \to -\infty. \tag{6.8}
\]

Let $d_k^*$ be the largest integer among $d_{k,\ell}$ and $c_k^*$ be the corresponding coefficient $c_{k,\ell}$ for each $0 \leq k \leq m$. Clearly $x_k(s) \to \alpha_k$ either as $s \to \infty$ or $s \to -\infty$ for $1 \leq k \leq m$. Then we have
\[
R(x) \sim -\frac{c_k^*}{(x - \alpha_k)^{d_k^*}} \quad \text{as } x \to \alpha_k,
\]
and in particular,
\[
s = R(x_k(s)) \sim -\frac{c_k^*}{(x_k(s) - \alpha_k)^{d_k^*}},
\]
whence solving in $x_k(s) - \alpha_k$ and substituting in
\[
R'(x_k(s)) \sim \frac{c_k^* d_k^*}{(x_k(s) - \alpha_k)^{d_k^*+1}} \quad \text{as } x \to \alpha_k,
\]
we obtain
\[
\frac{1}{|R'(x_k(s))|} \sim \frac{|c_k^*|^{1/d_k^*}}{d_k^*} \cdot \frac{1}{|s|^{1+1/d_k^*}}
\]
either as $s \to \infty$ or $s \to -\infty$. Therefore, in view of $(6.8)$, $d_k^* = 1$ and $R(x)$ can be written as
\[
R(x) = x - a_0 - \sum_{k=1}^m \frac{c_k}{x - \alpha_k} + Q(x) \tag{6.9}
\]
for some real constants $c_k$ in the first case. Since $R(x)$ is monotone increasing on $(\alpha_m, \infty)$ we have $c_m > 0$ and hence all coefficients $c_k$ must be positive; in particular,
\[
\sum_{k=0}^m \frac{1}{R'(x_k(s))} = 1. \tag{6.10}
\]

Differentiating $s = R(x_k(s))$ in $s$ and substituting in $(6.10)$, we get
\[
\sum_{k=0}^m x_k'(s) = 1,
\]
from which it follows that
\[
\sum_{k=0}^m x_k(s) = s + c'. 
\]
for some constant $c'$. Since $x_m(s) = s + a_0 + O(s^{-1})$ and $x_k(s) = \alpha_k + O(s^{-1})$ as $s \to \infty$ for each $0 \leq k < m$, we have
\[
\sum_{k=0}^m x_k(s) = s + \sum_{k=0}^m \alpha_k. \tag{6.11}
\]

The rest of the proof is devoted to showing the vanishing of $Q$. It may be interesting to find an easier real-analytic proof of this part.

Suppose, on the contrary, that $Q(x) \not\equiv 0$. Then, in view of $(6.9)$, we can write
\[
R(x) = \frac{V(x)}{U(x)} \quad \text{with} \quad U(x) = A(x) \prod_{k=1}^m (x - \alpha_k)
\]
where
\[
\begin{aligned}
A(x) &= x^{2p} - c''x^{2p-1} + O(x^{2p-2}), \\
V(x) &= x^{m+2p+1} - \left(c'' + \sum_{k=0}^m \alpha_k \right)x^{m+2p} + O(x^{m+2p-1})
\end{aligned}
\]
are polynomials with real coefficients for some positive integer $p$ and some constant $c''$. We can assume that $U(x)$ and $V(x)$ are relatively prime; that is, they have no common factor except for constants. Let $w_1, w_1', \ldots, w_p, w_p'$ be non-real zeros of $A(z)$. The algebraic equation
\[
V(z) = sU(z)
\]
has exactly $m + 1$ real simple roots $x_0(s), \ldots, x_m(s)$ and $2p$ non-real roots $z_1(s), \ldots, z_p(s), z_1'(s), \ldots, z_p'(s)$ counting with multiplicity for any real number $s$. Then we have from $(6.11)$
\[
\frac{z_1(s) + z_1'(s) + \cdots + z_p(s) + z_p'(s)}{s} = c''.
\]

Let $C$ be a circle enclosing all the zeros of $U(z)$. Take a sufficiently large $s$ such that
\[
s \min_{z \in C} |U(z)| > \max_{z \in C} |V(z)|
\]
and that $x_m(s)$ lies outside of $C$. Since $|V(z)| < s|U(z)|$ on $C$, it follows from Rouché's theorem that $V(z) = sU(z)$ has exactly $m + 2p$ roots inside of $C$, which are of course $x_1(s), \ldots, x_m(s)$ and $z_1(s), \ldots, z_p(s), z_1'(s), \ldots, z_p'(s)$. This implies that all the non-real roots are bounded as $s \to \infty$.
\[
V(z) - sU(z) \text{ is irreducible as a polynomial of two variables; that is, it cannot be expressed as the product of two polynomials none of which is constant.}
\]
We then consider \( x_k(s) \) and \( z_k(s) \) as function elements of the algebraic function uniquely determined by \( V(z) - sU(z) = 0 \). Since all solutions of \( V(z) - sU(z) = 0 \) are branches of the same algebraic function, it follows in particular that \( x_m(s) \) can be continued to \( z_1(s) \) along an arc on the Riemann surface of this algebraic function. This is a contradiction, since the relation \( (6.12) \) holds globally except for possible isolated singularities and since \( x_m(s) \) is a unique solution which is unbounded as \( s \to \infty \). Therefore \( p = 0 \) and hence \( Q(x) \) must vanish identically, completing the proof of the first part.

\textbf{The similar argument can be applied to the second case.}

Conversely, let
\[
R(x) = \pm \left( x - a_0 - \sum_{k=1}^m \frac{c_k}{x - \alpha_k} \right)
\]
for some real numbers \( a_0, \ldots, \alpha_m \) with \( \alpha_1 < \cdots < \alpha_m \) and some positive constants \( c_1, \ldots, c_m \). Then it is clear that \( \sum_{k=0}^m x_k'(s) = \pm 1 \) and hence
\[
\int_{-\infty}^\infty f(R(x)) dx = \int_{-\infty}^{\alpha_1} + \cdots + \int_{\alpha_m}^\infty f(R(x)) dx
\]
\[
= \pm \sum_{k=0}^m \int_{-\infty}^\infty f(s) x_k'(s) ds,
\]
which is equal to
\[
\int_{-\infty}^\infty f(x) dx. \quad \Box
\]
"
6_2,Improper Integrals,"Show that
\[
\lim_{n \to \infty} \sqrt{n} \int_{-\infty}^\infty \frac{dx}{(1 + x^2)^n} = \sqrt{\pi}.
\]","We divide \( (-\infty, \infty) \) into three parts as
\[
(-\infty, -n^{-1/3}) \cup [-n^{-1/3}, n^{-1/3}] \cup (n^{-1/3}, \infty),
\]
which we denote by \( A_1, A_2, A_3 \) respectively. For \( k = 1, 2, 3 \) put
\[
I_k = \sqrt{n} \int_{A_k} \frac{dx}{(1 + x^2)^n}.
\]

By the substitution \( t = \sqrt{n} x \) we have
\[
I_2 = \sqrt{n} \int_{A_2} \exp\left(-n \log \left(1 + x^2\right)\right) dx
= \int_{-n^{1/6}}^{n^{1/6}} \exp\left(-n \log \left(1 + \frac{t^2}{n}\right)\right) dt.
\]

Since
\[
n \log \left(1 + \frac{t^2}{n}\right) = t^2 + O\left(\frac{1}{n^{1/3}}\right)
\]
uniformly in \( |t| \leq n^{1/6} \), we obtain
\[
I_2 = \left(1 + O\left(\frac{1}{n^{1/3}}\right)\right) \left(\sqrt{\pi} - \int_{-\infty}^{-n^{1/6}} e^{-t^2} dt - \int_{n^{1/6}}^{\infty} e^{-t^2} dt\right)
= \sqrt{\pi} + O\left(\frac{1}{n^{1/3}}\right)
\]
as \( n \to \infty \). On the other hand, it follows that
\[
0 < I_1 + I_3 < \frac{\sqrt{n}}{(1 + n^{-2/3})^{n-1}} \int_{-\infty}^\infty \frac{dx}{1 + x^2}
\]
and the right-hand side converges to 0 as \( n \to \infty \)."
6_6,Improper Integrals,"Suppose that \( f \in C(\mathbb{R}) \) and that \( \int_{-\infty}^\infty |f(x)| \, dx \) converges. Show then that
\[
\lim_{n \to \infty} \int_{-\infty}^\infty f(x) |\sin nx| \, dx = \frac{2}{\pi} \int_{-\infty}^\infty f(x) \, dx.
\]","For any \( \epsilon > 0 \), we can take a sufficiently large number \( L \) satisfying
\[
\int_{-\infty}^{-L\pi} |f(x)| dx + \int_{L\pi}^\infty |f(x)| dx < \epsilon. \tag{6.4}
\]
On the other hand,
\[
\int_{-L\pi}^{L\pi} |f(x)| \sin nx| dx = \pi \int_{-L}^L f(\pi t) |\sin n\pi t| dt
= \pi \sum_{k=-L}^{L-1} \int_0^1 f(\pi s + k\pi) |\sin n\pi s| ds.
\]
Applying the result in \textbf{Problem 5.1}, the right-hand side converges to
\[
\pi \sum_{k=-L}^{L-1} \int_0^1 f(\pi s + k\pi) ds \int_0^1 \sin n\pi s ds
\]
as \( n \to \infty \), which is
\[
\frac{2}{\pi} \int_{-L\pi}^{L\pi} f(t) dt.
\]
Whence
\[
\int_{-L\pi}^{L\pi} f(x)|\sin nx| dx \to \frac{2}{\pi} \int_{-L\pi}^{L\pi} f(t) dt \quad (n \to \infty). \tag{6.5}
\]
Therefore, by (6.4) and (6.5), we have
\[
\limsup_{n \to \infty} \left| \int_{-\infty}^\infty f(x)|\sin nx| dx - \frac{2}{\pi} \int_{-\infty}^\infty f(t) dt \right| \leq 2\epsilon.
\]
Since \( \epsilon \) is arbitrary, this completes the proof."
6_1,Improper Integrals,"Show that
\[
\int_0^1 x^{-x} dx = \frac{1}{1^1} + \frac{1}{2^2} + \frac{1}{3^3} + \cdots + \frac{1}{n^n} + \cdots.
\]","We have
\[
\int_0^1 x^{-x} \, dx = \int_0^1 e^{-x \log x} \, dx = \sum_{n=0}^\infty \frac{(-1)^n}{n!} \int_0^1 x^n \log^n x \, dx,
\]
where the termwise integration is allowed since the series
\[
\sum_{n=0}^\infty \frac{(-1)^n}{n!} x^n \log^n x
\]
converges uniformly on the interval \( (0, 1] \). Also, by the substitution \( x = e^{-s} \), we get
\[
\int_0^1 x^n \log^n x \, dx = (-1)^n \int_0^\infty e^{-(n+1)s} s^n \, ds = (-1)^n \frac{n!}{n^{n}},
\]
from the definition of the Gamma function.
"
6_9,Improper Integrals,"Show that
\[
\gamma = \int_0^1 \frac{1 - \cos x}{x} \, dx - \int_1^\infty \frac{\cos x}{x} \, dx,
\]
where \( \gamma \) is Euler's constant.","The proof is essentially due to Gronwall (1918). Put
\[
c_n = \int_0^{n\pi} \frac{1 - \cos x}{x} dx - \log(n\pi)
\]
for any positive integer $n$. Then obviously
\[
c_n = \int_0^1 \frac{1 - \cos x}{x} dx - \int_1^{n\pi} \frac{\cos x}{x} dx,
\]
and we are to show that $c_n$ converges to Euler's constant $\gamma$ as $n \to \infty$.

By the substitution $x = 2n\pi s$ we have
\[
\int_0^{n\pi} \frac{1 - \cos x}{x} dx = \int_0^{1/2} \frac{1 - \cos 2n\pi s}{s} ds,
\]
which is equal to
\[
\pi \int_0^{1/2} \frac{1 - \cos 2n\pi s}{\sin \pi s} ds + \int_0^{1/2} \phi(s) ds - \int_0^{1/2} \phi(s) \cos 2n\pi s \, ds, \tag{6.13}
\]
where
\[
\phi(s) = \frac{1}{s} - \frac{\pi}{\sin \pi s}
\]
is a continuous function on the interval $[0, 1/2]$ if we define $\phi(0) = 0$. Hence by the remark after \textbf{Problem 5.1} the third integral in (6.13) converges to $0$ as $n \to \infty$. The second integral in (6.13) is equal to
\[
\left[ \log \frac{s}{\tan(\pi s / 2)} \right]_{s=0^+}^{s=1/2} = \log \pi - 2 \log 2.
\]
Finally, since it is easily verified that
\[
\frac{1 - \cos 2n\pi s}{\sin \pi s} = 2 \sum_{k=1}^n \sin(2k-1)\pi s,
\]
the first integral in (6.13) is equal to
\[
2\pi \sum_{k=1}^n \int_0^{1/2} \sin(2k-1)\pi s \, ds = \sum_{k=1}^n \frac{2}{2k-1},
\]
which is $\log n + 2 \log 2 + \gamma + o(1)$ as $n \to \infty$. Thus we obtain $c_n = \gamma + o(1)$, which completes the proof."
7_11,Series of Functions,"Suppose that \( f \in C^1(0,1) \) and \( \int_0^1 |f(x)| dx \) converges. Show that the Fourier series
\[
\frac{a_0}{2} + \sum_{n=1}^\infty \left( a_n \cos 2n\pi x + b_n \sin 2n\pi x \right)
\]
converges to \( f(x) \) in the interval \( (0,1) \).","For an arbitrary fixed $x \in (0, 1)$, let $s_n(x)$ be the $n$th partial sum of the Fourier series. Then we have
\[
s_n(x) = \frac{a_0}{2} + \sum_{k=1}^n \left(a_k \cos 2k\pi x + b_k \sin 2k\pi x\right)
= \int_0^1 f(t) \left(1 + 2 \sum_{k=1}^n \cos 2k\pi(t-x) \right) dt.
\]

Now, as we have already seen in \textbf{Solution 7.10}, the trigonometric sum in the big parentheses can be expressed in the ratio of sines; hence we obtain
\[
s_n(x) = \int_{-x}^{1-x} f(x+y) \frac{\sin (2n+1)\pi y}{\sin \pi y} \, dy.
\]

If $f(x) = 1$, then obviously $a_0 = 1$ and $a_n = b_n = 0$ for all $n \geq 1$; hence
\[
1 = \int_{-x}^{1-x} \frac{\sin (2n+1)\pi y}{\sin \pi y} \, dy.
\]

Therefore, we have
\[
s_n(x) - f(x) = \int_{-x}^{1-x} \varphi_x(y) \sin (2n+1)\pi y \, dy,
\]
where
\[
\varphi_x(y) = \frac{f(x+y) - f(x)}{\sin \pi y}.
\]

Clearly, $\varphi_x \in C(-x, 1-x)$ and the improper integral
\[
\int_{-x}^{1-x} |\varphi_x(y)| \, dy
\]
converges, since $f \in C^1(0, 1)$ and $\int_0^1 |f(x)| dx$ converges. Thus it follows from the remark after \textbf{Solution 5.1} that
\[
\lim_{n \to \infty} s_n(x) = f(x),
\]
in view of
\[
\int_{-x}^{1-x} \sin 2\pi y \, dy = \int_{-x}^{1-x} \cos 2\pi y \, dy = 0.
\]"
7_10,Series of Functions,"Show that the trigonometric series
\[
\sum_{n=1}^\infty \frac{\sin n\theta}{n}
\]
converges uniformly to
\[
\frac{\pi - \theta}{2}
\]
on the interval $[\delta, 2\pi - \delta]$ for any $\delta > 0$.","The uniform convergence on any interval $[\delta, 2\pi - \delta]$ with $\delta > 0$ can be easily derived from Dirichlet's test (See Item 2 on p. 93). Thus it suffices to show that the limit function is $(\pi - \theta)/2$.

Put $\theta = 2\vartheta$ for brevity. Integrating the formula
\[
\frac{1}{2} + \sum_{n=1}^m \frac{\sin n\omega}{n} = \frac{\sin (2m+1)\vartheta}{2\sin \vartheta}
\]
from $0$ to $\omega \in [\delta, 2\pi - \delta]$, we obtain
\[
\frac{\omega}{2} + \sum_{n=1}^m \frac{\sin n\omega}{n} = \int_0^\omega \frac{\sin (2m+1)\vartheta}{\sin \vartheta} \, d\vartheta
= \int_0^\eta \frac{\sin (2m+1)\vartheta}{\sin \vartheta} \, d\vartheta,
\]
where $\omega = 2\eta$. We divide the last integral into two parts,
\[
\int_0^\eta \frac{\sin (2m+1)t}{t} \, dt + \int_0^\eta \phi(t) \sin (2m+1)t \, dt
\]
and call them $I_m(\eta)$ and $J_m(\eta)$ respectively, where
\[
\phi(t) = \frac{1}{\sin t} - \frac{1}{t}.
\]

Note that $\phi \in C^1(-\pi, \pi)$ if we define $\phi(0) = 0$.

Integrating by parts we get
\[
J_m(\eta) = -\frac{\phi(\eta)}{2m+1} \cos (2m+1)\eta + \frac{1}{2m+1} \int_0^\eta \phi'(t)\cos (2m+1)t \, dt,
\]
from which it is easily seen that
\[
|J_m(\eta)| < \frac{M_0 + \pi M_1}{2m+1},
\]
where $M_0$ and $M_1$ are the maxima of $|\phi|$ and $|\phi'|$ on the interval $[0, \pi - \delta/2]$ respectively. Thus $J_m(\eta)$ converges uniformly to $0$ as $m \to \infty$ on $[0, \pi - \delta/2]$.

We next deal with the integral $I_m(\eta)$. By the substitution $s = (2m+1)t$, we have
\[
I_m(\eta) = \int_0^{(2m+1)\eta} \frac{\sin s}{s} \, ds.
\]
Since $\frac{\pi}{2} = I_m(\pi/2) + J_m(\pi/2)$, we have for any $x > \pi$
\[
\left| \frac{\pi}{2} - \int_0^x \frac{\sin s}{s} \, ds \right| \leq \left| J_m\left(\frac{\pi}{2}\right) \right| + \int_{(2m+1)\pi/2}^x \frac{ds}{s},
\]
where $m_x$ is the largest integer satisfying $(2m+1)\pi \leq 2x$. Since the right-hand side converges to $0$ as $x \to \infty$, the improper integral
\[
\int_0^\infty \frac{\sin s}{s} \, ds
\]
exists and equals to $\pi/2$. Therefore
\[
\left| \frac{\omega}{2} + \sum_{n=1}^m \frac{\sin n\omega}{n} \right| \leq \left| J_m(\eta) \right| + \left| I_m(\eta) - \frac{\pi}{2} \right|
= \left| J_m(\eta) \right| + \left| \int_{(2m+1)\eta}^\infty \frac{\sin s}{s} \, ds \right|.
\]
The right-hand side clearly converges to $0$ uniformly in $\eta \in [\delta/2, \pi - \delta/2]$ as $m \to \infty$."
7_1,Series of Functions,"Show that
\[
\lim_{x \to 1^-} \sqrt{1-x} \sum_{n=1}^\infty x^{n^2} = \frac{\sqrt{\pi}}{2}.
\]","Applying \textbf{Problem 6.4} for \( f(x) = e^{-x^2} \), we have
\[
h \sum_{n=0}^\infty \exp(-n^2 h^2) \to \int_0^\infty e^{-x^2} dx = \frac{\sqrt{\pi}}{2}
\]
as \( h \to 0^+ \). By the substitution \( h = \sqrt{-\log x} \), it follows that \( h \) converges to \( 0^+ \) if and only if \( x \) converges to \( 1^- \); hence, using \( -\log x \sim 1 - x \) as \( x \to 1^- \), we obtain
\[
\lim_{x \to 1^-} \sqrt{1 - x} \sum_{n=0}^\infty x^{n^2}
= \lim_{x \to 1^-} \sqrt{-\log x} \sum_{n=0}^\infty x^{n^2}
= \lim_{h \to 0^+} h \sum_{n=0}^\infty \exp(-n^2 h^2) = \frac{\sqrt{\pi}}{2}.
\]"
7_9,Series of Functions,"Let $\{a_n\}$ be a monotone decreasing sequence converging to $0$. Show that the trigonometric series
\[
\sum_{n=1}^\infty a_n \sin n\theta
\]
converges uniformly on $\mathbb{R}$ if and only if $n a_n$ converges to $0$ as $n \to \infty$.","Suppose first that the given series converges uniformly on $\mathbb{R}$. For any $\epsilon > 0$, we can take a positive integer $N$ such that 
\[
\max_{\theta \in \mathbb{R}} \left| a_p \sin p \theta + a_{p+1} \sin (p+1)\theta + \cdots + a_q \sin q \theta \right| < \epsilon
\]
for any integers $q > p$ greater than $N$. We now choose $\theta = \pi/(4p)$ and $q = 2p$ so that $a_k \sin k \theta \geq 0$ for $p \leq k \leq 2p$. Then we have 
\[
\epsilon > \sum_{n=p}^{2p} a_n \sin \frac{n \pi}{4p} \geq \frac{1}{\sqrt{2}} \sum_{n=p}^{2p} a_n \geq \frac{p+1}{\sqrt{2}} a_{2p}.
\]
Hence 
\[
\max \{ 2p a_{2p}, (2p+1)a_{2p+1} \} \leq 2(p+1)a_{2p} < 2 \sqrt{2} \epsilon,
\]
and so $n a_n \to 0$ as $n \to \infty$.

Conversely, assume that $n a_n$ converges to $0$ as $n \to \infty$. For any $\epsilon > 0$, we can take a positive integer $N$ so that $n a_n < \epsilon$ for any integer $n$ greater than $N$. For any $\theta \in (0, \pi]$, let $m_\theta$ be a unique positive integer satisfying $\pi/(m+1) < \theta \leq \pi/m$. For any integers $q > p$ greater than $N$, let $S_0(\theta)$ and $S_1(\theta)$ be the sums of $a_n \sin n \theta$ from $n = p$ to $r$ and from $n = r+1$ to $q$ respectively, where 
\[
r = \min \{ q, p+m_\theta - 1 \}.
\]

For the sum $S_0(\theta)$, we use an almost trivial estimate $\sin x < x$ for $x > 0$ to obtain
\[
|S_0(\theta)| \leq \theta \sum_{n=p}^r n a_n < \theta m_\theta \epsilon \leq \pi \epsilon.
\]

Next, for the sum $S_1(\theta)$, we can assume $q \geq p + m_\theta$, so $r = p+m_\theta - 1$. By partial summation, we have 
\[
|S_1(\theta)| = \left| \sum_{n=r+1}^q a_n (\sigma_n - \sigma_{n-1}) \right| \leq a_{r+1}|\sigma_r| + a_q |\sigma_q| + (a_{r+1} - a_q) \max_{r < k < q} |\sigma_k|,
\]
where 
\[
\sigma_n = \sin \theta + \sin 2\theta + \cdots + \sin n\theta.
\]

Using Jordan's inequality $\pi \sin x \geq 2x$ valid on the interval $[0, \pi/2]$, we get 
\[
|\sigma_n| = \left| \frac{\cos \vartheta - \cos(2n+1)\vartheta}{\sin \vartheta} \right| \leq \frac{2}{\sin \vartheta} \leq \frac{\pi}{\vartheta} < m_\theta + 1,
\]
where $\theta = 2\vartheta$; therefore
\[
|S_1(\theta)| \leq (m_\theta + 1)(a_{r+1} + a_q + a_{r+1} - a_q) \leq 2(r+1)a_{r+1} < 2\epsilon.
\]

We then have 
\[
\left| \sum_{n=p}^q a_n \sin n \theta \right| \leq |S_0(\theta)| + |S_1(\theta)| < (\pi + 2)\epsilon,
\]
which holds uniformly on the interval $[0, \pi]$; whence on $\mathbb{R}$ by symmetry and periodicity.
"
